1048578,0.25,1931.000000
1048578,0.5,1442.000000
1048578,0.75,1073.000000
2097154,0.25,1269.000000
2097154,0.5,2220.000000
2097154,0.75,1405.000000
4194306,0.25,3740.000000
4194306,0.5,1501.000000
4194306,0.75,1540.000000
8388610,0.25,2345.000000
8388610,0.5,1525.000000
8388610,0.75,2390.000000
16777218,0.25,1771.000000
16777218,0.5,1756.000000
16777218,0.75,1720.000000
33554434,0.25,1522.000000
33554434,0.5,1955.000000
33554434,0.75,2168.000000
67108866,0.25,1891.000000
67108866,0.5,2488.000000
67108866,0.75,1803.000000
134217730,0.25,1946.000000
134217730,0.5,1920.000000
134217730,0.75,1664.000000
268435458,0.25,2621.000000
268435458,0.5,2477.000000
268435458,0.75,1803.000000
